Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","1999","1999","1000 ha","3110","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","1999","1999","1000 ha","3960.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2000","2000","1000 ha","3195","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2000","2000","1000 ha","3945.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2001","2001","1000 ha","3265","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2001","2001","1000 ha","3925.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2002","2002","1000 ha","3365","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2002","2002","1000 ha","3875.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2003","2003","1000 ha","3467","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2003","2003","1000 ha","3823.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2004","2004","1000 ha","3467","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2004","2004","1000 ha","3873.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2005","2005","1000 ha","3484","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2005","2005","1000 ha","3906.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2006","2006","1000 ha","3340","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2006","2006","1000 ha","4100.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2007","2007","1000 ha","3350","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2007","2007","1000 ha","4140.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2008","2008","1000 ha","3550","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2008","2008","1000 ha","3990.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2009","2009","1000 ha","3650","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2009","2009","1000 ha","3940.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2010","2010","1000 ha","3650","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2010","2010","1000 ha","3990.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2011","2011","1000 ha","3650","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2011","2011","1000 ha","4040.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2012","2012","1000 ha","3750","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2012","2012","1000 ha","3990.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2013","2013","1000 ha","3950","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2013","2013","1000 ha","3840.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2014","2014","1000 ha","3950","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2014","2014","1000 ha","3890.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2015","2015","1000 ha","3950","I","Valeur imputée",""
